Answer.age	Answer.gender	Answer.language	Answer.time_in_minutes	imagelocation	img1	img2	img3	response	rt	trial	workerid	logrt	half	combination
37	female	English	0.961783333333333	2	sx_v2	s1_v2	s2_v1	s1_v2	5394	0	0	8.59304250369967	1	sx_v2 s1_v2 s2_v1
37	female	English	0.961783333333333	2	s2_v1	s2_vx	s1_v1	s2_vx	4588	1	0	8.43119947824926	1	s2_v1 s2_vx s1_v1
37	female	English	0.961783333333333	3	s2_vx	s1_v2	s2_v1	s2_v1	890	2	0	6.79122146272619	1	s2_vx s1_v2 s2_v1
37	female	English	0.961783333333333	2	s2_vx	s2_v1	s1_v1	s2_v1	577	3	0	6.3578422665081	1	s2_vx s2_v1 s1_v1
37	female	English	0.961783333333333	1	s1_v1	s1_v2	sx_v1	s1_v1	642	4	0	6.46458830368996	1	s1_v1 s1_v2 sx_v1
37	female	English	0.961783333333333	2	s2_v1	sx_v2	s1_vx	sx_v2	10230	5	0	9.23307985894567	1	s2_v1 sx_v2 s1_vx
37	female	English	0.961783333333333	1	s1_v2	s2_vx	s2_v1	s1_v2	2344	6	0	7.7596141506969	1	s1_v2 s2_vx s2_v1
37	female	English	0.961783333333333	1	s1_v2	s1_vx	s2_v1	s1_v2	982	7	0	6.88959130835447	1	s1_v2 s1_vx s2_v1
37	female	English	0.961783333333333	1	s1_v2	s1_v1	sx_v1	s1_v2	601	8	0	6.39859493453521	1	s1_v2 s1_v1 sx_v1
37	female	English	0.961783333333333	3	s1_v1	s2_v2	s2_vx	s2_vx	1821	9	0	7.50714107972761	1	s1_v1 s2_v2 s2_vx
37	female	English	0.961783333333333	3	s1_v1	s1_vx	s2_v1	s2_v1	587	10	0	6.3750248198281	1	s1_v1 s1_vx s2_v1
37	female	English	0.961783333333333	2	sx_v2	s1_vx	s2_v1	s1_vx	614	11	0	6.41999492814714	1	sx_v2 s1_vx s2_v1
37	female	English	0.961783333333333	3	s2_v2	s2_v1	sx_v1	sx_v1	668	12	0	6.50428817353665	1	s2_v2 s2_v1 sx_v1
37	female	English	0.961783333333333	1	s2_v1	s2_v1	sx_v2	s2_v1	721	13	0	6.58063913728495	1	s2_v1 s2_v1 sx_v2
37	female	English	0.961783333333333	3	s2_v1	s1_v1	s2_vx	s2_vx	1110	14	0	7.01211529430638	2	s2_v1 s1_v1 s2_vx
37	female	English	0.961783333333333	1	sx_v2	s1_v1	s1_v1	sx_v2	866	15	0	6.76388490856244	2	sx_v2 s1_v1 s1_v1
37	female	English	0.961783333333333	1	s1_v1	s2_v2	sx_v2	s1_v1	926	16	0	6.83087423464618	2	s1_v1 s2_v2 sx_v2
37	female	English	0.961783333333333	1	s2_v1	s1_v2	s1_v2	s2_v1	801	17	0	6.68586094706836	2	s2_v1 s1_v2 s1_v2
